g,p,pb,resul
Real Potosi,Atletico Palmaflor,0.62887970959416,vl

The Strongest,Royal Pari,0.9955597811095187,vl

Blooming,Nacional Potosi,0.7489648808133322,vl

Aurora,Guabira,0.5722751878466176,vl

San Jose,Aurora,0.9412432819024698,vl

The Strongest,Nacional Potosi,0.987315912817884,vv

Always Ready,Atletico Palmaflor,0.619302998034974,vv

Jorge Wilstermann,Atletico Palmaflor,0.9967795159983179,vl

Bolivar,Always Ready,0.9996075844932714,vv

Nacional Potosi,Real Santa Cruz,0.7113436439445229,vv

The Strongest,Guabira,0.9742178859642493,vl

Blooming,Aurora,0.7739559760448179,vl

San Jose,Oriente Petrolero,0.8230406019001679,vl

San Jose,Blooming,0.7618897905801818,vl

Guabira,Real Santa Cruz,0.5297140343229326,vl

Nacional Potosi,Real Potosi,0.8022691499901667,vl

Royal Pari,Always Ready,0.6304718153778485,vl

Oriente Petrolero,Atletico Palmaflor,0.7260041930100323,vv

San Jose,Atletico Palmaflor,0.9718811189287405,vv

Aurora,Real Santa Cruz,0.6822720071911614,vv

The Strongest,Blooming,0.9818508639038395,vl

Real Potosi,Aurora,0.7117703154776762,vl

Always Ready,Guabira,0.5929194691969373,vl

Jorge Wilstermann,Nacional Potosi,0.9974621471355012,vl

Bolivar,Atletico Palmaflor,0.9999511235884225,vv

Bolivar,San Jose,0.9744033354483856,vl

Royal Pari,Atletico Palmaflor,0.7122867824271357,vl

Nacional Potosi,Oriente Petrolero,0.6295857886842258,vl

Blooming,Real Potosi,0.7035314463166855,vl

The Strongest,Real Santa Cruz,0.9933537670737446,vl

San Jose,Real Santa Cruz,0.8983741284116853,vl

Always Ready,Blooming,0.6758818206563462,vl

Bolivar,Royal Pari,0.9992942056411254,vl

San Jose,Royal Pari,0.9256670246557704,vv

Guabira,Atletico Palmaflor,0.5834422100029424,vl

Aurora,Oriente Petrolero,0.7357547828473961,vl

Jorge Wilstermann,Blooming,0.9946045492877658,vv

The Strongest,Always Ready,0.99225310056612,vl

Real Potosi,Real Santa Cruz,0.7559950955678277,vv

Oriente Petrolero,Blooming,0.5841039246865353,vl

Atletico Palmaflor,Aurora,0.5651937200083708,vl

Bolivar,Guabira,0.9958265625403492,vl

Royal Pari,Nacional Potosi,0.758672318116769,vl

San Jose,Nacional Potosi,0.8847201749124959,vv

Guabira,Royal Pari,0.6282137095647495,vl

Blooming,Atletico Palmaflor,0.7014477346658915,vl

The Strongest,Oriente Petrolero,0.9874429120295021,vl

Jorge Wilstermann,Real Potosi,0.9968113629494175,vl

Oriente Petrolero,Real Santa Cruz,0.795086616382304,vl

The Strongest,Atletico Palmaflor,0.9971555160364437,vv

Bolivar,Blooming,0.9970813045499871,vl

Royal Pari,Aurora,0.7829770435468408,vl

Guabira,Nacional Potosi,0.5504376563361846,vv

San Jose,Guabira,0.9565430963741899,vv

Blooming,Royal Pari,0.7392053394607028,vl

Bolivar,The Strongest,0.98991819899152,vv

Atletico Palmaflor,Real Santa Cruz,0.7578295368651634,vv

Oriente Petrolero,Real Potosi,0.8297360243490769,vl

Jorge Wilstermann,Always Ready,0.9837285250489956,vv

Oriente Petrolero,Always Ready,0.7687937521407014,vl

Bolivar,Real Santa Cruz,0.9989415764832047,vl

The Strongest,Royal Pari,0.9921447956744346,vv

Nacional Potosi,Blooming,0.539026287259047,vl

Guabira,Aurora,0.6711749615327722,vl

San Jose,Aurora,0.8240932790891639,vv

The Strongest,Nacional Potosi,0.9957807022847592,vl

Always Ready,Atletico Palmaflor,0.8775094741792692,vl

San Jose,Oriente Petrolero,0.8646766807366626,vv

Nacional Potosi,Real Santa Cruz,0.7636225083672268,vl

The Strongest,Guabira,0.9955406767938404,vv

Aurora,Blooming,0.6570110099366013,vl

San Jose,Blooming,0.9291874954609768,vv

The Strongest,Aurora,0.9963214244702627,vl

Always Ready,Royal Pari,0.8962927507469427,vl

Bolivar,Jorge Wilstermann,0.9833221114850756,vv

Bolivar,Oriente Petrolero,0.9979902085353198,vl

Jorge Wilstermann,Royal Pari,0.9943164193802999,vv

Guabira,Real Potosi,0.5858632684038774,vl

Bolivar,San Jose,0.9993979925674614,vv

Blooming,Real Potosi,0.6696782672461992,vv

Blooming,Always Ready,0.6182026663567938,vl

Oriente Petrolero,Guabira,0.6278973379407187,vv

San Jose,Royal Pari,0.929880380088482,vl

Jorge Wilstermann,The Strongest,0.6997336758241912,vv

The Strongest,Oriente Petrolero,0.9848041682301194,vv

San Jose,Always Ready,0.8114442944727891,vv

Oriente Petrolero,Real Santa Cruz,0.8808961243758283,vv

